project,unit,type,owner,parent,countries,status_tabular,start_year,capacity,production,units,geom,lat,lng,route,url,pci5,status
A18-FA,,gas_extraction_area,Petrogas E&P Netherlands B.V.;TAQA Offshore B.V.;ONE-Dyas B.V.,Petrogas E&P LLC;TAQA (Abu Dhabi National Energy Company PJSC);ONE-Dyas B.V.,Netherlands,operating,2015,,4.04,million boe/y,point,55.117,3.832,,https://www.gem.wiki/A18-FA_Gas_Field_(Netherlands),,operating
Aasta Hansteen,,gas_extraction_area,Equinor Energy AS (51%);Wintershall DEA Norge AS (24%);OMV (Norge) AS (15%);ConocoPhillips Skandinavia AS (10%),Equinor ASA (51%);BASF SE (24%);OMV Aktiengesellschaft (15%);ConocoPhillips (10%),Norway,operating,2018,,51.50,million boe/y,point,67.061,6.9882,,https://www.gem.wiki/Aasta_Hansteen_Oil_and_Gas_Field_(Norway),,operating
Achmelvich,,gas_extraction_area,BP (52.6%);Shell (28%);Chevron (19.4%),BP P.L.C. (52.6%);Shell plc (28%);Chevron Corporation (19.4%),United Kingdom,discovered,,,,,point,56.772,1.682,,https://www.gem.wiki/Achmelvich_Oil_Field,,proposed_plus
Aitingen,,gas_extraction_area,,,Germany,operating,,,0.25,million boe/y,point,51.614,10.101,,https://www.gem.wiki/Aitingen_Oil_and_Gas_Field_(Germany),,operating
Alba,,gas_extraction_area,Ithaca Energy (23.4%);Endeavour Energy UK Limited (25.7%);Verus Petroleum (SNS) Limited (17%);Mitsui E&P UK Limited (13.3%);other (20.7%),"Delek Group Limited (23.4%);Waldorf Production UK Limited (25.7%);Verus Petroleum Holding Limited (17%);Mitsui & Co., Ltd. (13.3%)",United Kingdom,operating,1994,,3.91,million boe/y,point,58.04,1.1076,,https://www.gem.wiki/Alba_Oil_and_Gas_Field_(United_Kingdom),,operating
Alder,,gas_extraction_area,,,United Kingdom,operating,2016,,2.58,million boe/y,point,58.097,0.70705,,https://www.gem.wiki/Alder_Oil_and_Gas_Field_(United_Kingdom),,operating
Aleksandrówka,,gas_extraction_area,,,Poland,operating,,,0.06,million boe/y,point,52.4,19.18,,https://www.gem.wiki/Aleksandrówka_Gas_Field_(Poland),,operating
Alfeld-Elze/Hildesheimer-Wald,,gas_extraction_area,,,Germany,operating,1972,,0.19,million boe/y,point,52.136,9.744,,https://www.gem.wiki/Alfeld-ElzeHildesheimerWald_Gas_Field_(Germany),,operating
Algyo,,gas_extraction_area,,,Hungary,operating,,,,,point,46.333,20.25,,https://www.gem.wiki/Algyo_Oil_and_Gas_Field_(Hungary),,operating
Alma,,gas_extraction_area,,,United Kingdom,operating,2015,,1.10,million boe/y,point,56.183,2.7827,,https://www.gem.wiki/Alma_Oil_and_Gas_Field_(United_Kingdom),,operating
Alvheim,,gas_extraction_area,Aker BP ASA (65%);ConocoPhillips Skandinavia AS (20%);Lundin Energy Norway AS (15%),Aker (26%);BP (19.5%);Other (19.5%);ConocoPhillips (20%);Lundin Energy AB (15%),Norway,operating,2008,,18.55,million boe/y,point,59.547,2.0172,,https://www.gem.wiki/Alvheim_Oil_and_Gas_Field_(Norway),,operating
Alwyn North,,gas_extraction_area,TotalEnergies E&P UK (100%),TotalEnergies (100%),United Kingdom,operating,,,4.55,million boe/y,point,60.799,1.743,,https://www.gem.wiki/Alwyn_North_Oil_and_Gas_Field_(United_Kingdom),,operating
Ameland-Oost,,gas_extraction_area,Nederlandse Aardolie Maatschappij B.V. (100%),Shell plc (100%),Netherlands,operating,1986,,1.03,million boe/y,point,53.47,5.914,,https://www.gem.wiki/Ameland-Oost_Oil_and_Gas_Field_(Netherlands),,operating
Ameland-Westgat,,gas_extraction_area,,,Netherlands,operating,1993,,0.39,million boe/y,point,53.501,5.933,,https://www.gem.wiki/Ameland-Westgat_Oil_and_Gas_Field_(Netherlands),,operating
Amelia,,gas_extraction_area,,,Italy,operating,,,,,point,40.797,12.631,,https://www.gem.wiki/Amelia_Gas_Field_(Italy),,operating
Ana,,gas_extraction_area,,,Romania,in-development,2021,,,,point,44.072,29.97,,https://www.gem.wiki/Ana_Gas_Field_(Romania),,construction_plus
Andrew,,gas_extraction_area,,,United Kingdom,operating,1996,,1.60,million boe/y,point,58.04,1.4109,,https://www.gem.wiki/Andrew_Oil_and_Gas_Field_(United_Kingdom),,operating
Angela-Angelina,,gas_extraction_area,,,Italy,operating,,,4.32,million boe/y,point,44.391,12.343,,https://www.gem.wiki/Angela-Angelina_Gas_Field_(Italy),,operating
Annamaria,,gas_extraction_area,,,Italy,operating,2010,,1.72,million boe/y,point,40.797,12.631,,https://www.gem.wiki/Annamaria_Gas_Field_(Italy),,operating
Annerveen,,gas_extraction_area,Nederlandse Aardolie Maatschappij B.V. (100%),Shell plc (100%),Netherlands,operating,1973,,0.50,million boe/y,point,53.077,6.792,,https://www.gem.wiki/Annerveen_Oil_and_Gas_Field_(Netherlands),,operating
Apeldorn,,gas_extraction_area,,,Germany,operating,1963,,0.58,million boe/y,point,52.758,7.363,,https://www.gem.wiki/Apeldorn_Gas_Field_(Germany),,operating
Aphrodite,,gas_extraction_area,Noble Energy (35%);Royal Dutch Shell (35%);Delek Drilling (30%),Chevron Corporation (35%);Shell plc (nan%);Delek Group (30%),Cyprus,discovered,2026 (expected),,,,point,33.185,33.342,,https://www.gem.wiki/Aphrodite_Gas_Field,,proposed_plus
Arbroath,,gas_extraction_area,,,United Kingdom,operating,1990,,1.17,million boe/y,point,57.373,1.3583,,https://www.gem.wiki/Arbroath_Oil_and_Gas_Field_(United_Kingdom),,operating
Arundel,,gas_extraction_area,,,United Kingdom,operating,2017,,1.88,million boe/y,point,58.195,1.4236,,https://www.gem.wiki/Arundel_Oil_and_Gas_Field_(United_Kingdom),,operating
Auk,,gas_extraction_area,,,United Kingdom,operating,1975,,1.50,million boe/y,point,56.395,2.0783,,https://www.gem.wiki/Auk_Oil_and_Gas_Field_(United_Kingdom),,operating
B 3,,gas_extraction_area,,,Poland,operating,1992,,0.46,million boe/y,point,55.36,18.03,,https://www.gem.wiki/B_3_Oil_and_Gas_Field_(Poland),,operating
B 8,,gas_extraction_area,,,Poland,operating,2015,,1.12,million boe/y,point,52.4,19.18,,https://www.gem.wiki/B_8_Oil_and_Gas_Field_(Poland),,operating
B13-FA,,gas_extraction_area,,,Netherlands,operating,2011,,1.32,million boe/y,point,55.312,4.109,,https://www.gem.wiki/B13-FA_Gas_Field_(Netherlands),,operating
BMB (Barnówko-Mostno-Buszewo),,gas_extraction_area,Polskie Górnictwo Naftowe i Gazownictwo SA (PGNiG) (100%),Polskie Górnictwo Naftowe i Gazownictwo SA (PGNiG) (100%),Poland,operating,2000,,4.90,million boe/y,point,52.4,19.18,,https://www.gem.wiki/BMB_(Barnówko-Mostno-Buszewo)_Oil_and_Gas_Field_(Poland),,operating
Babbage,,gas_extraction_area,,,United Kingdom,operating,2010,,1.53,million boe/y,point,53.949,1.2607,,https://www.gem.wiki/Babbage_Oil_and_Gas_Field_(United_Kingdom),,operating
Bacchus,,gas_extraction_area,,,United Kingdom,operating,2012,,1.28,million boe/y,point,57.768,1.0785,,https://www.gem.wiki/Bacchus_Oil_and_Gas_Field_(United_Kingdom),,operating
Bahrenborstel/Burgmoor/Uchte (Zechstein),,gas_extraction_area,,,Germany,operating,1962,,2.24,million boe/y,point,52.537,8.806,,https://www.gem.wiki/BahrenborstelBurgmoorUchte_(Zechstein)_Gas_Field_(Germany),,operating
Bahrenborstel/Uchte (Buntsandstein),,gas_extraction_area,,,Germany,operating,1962,,0.27,million boe/y,point,52.511,8.8295,,https://www.gem.wiki/BahrenborstelUchte_(Buntsandstein)_Gas_Field_(Germany),,operating
Balder,,gas_extraction_area,Vår Energi AS (90%);Mime Petroleum AS (10%),Eni (62.9%);HitecVision (27.1%);Bluewater Energy (10%),Norway,operating,1991,,6.68,million boe/y,point,59.226,2.4131,,https://www.gem.wiki/Balder_oil_field,,operating
Ballindalloch,,gas_extraction_area,,,United Kingdom,operating,,,0.62,million boe/y,point,59.339,1.5973,,https://www.gem.wiki/Ballindalloch_Oil_and_Gas_Field_(United_Kingdom),,operating
Balloch,,gas_extraction_area,,,United Kingdom,operating,2013,,2.55,million boe/y,point,58.379,0.88534,,https://www.gem.wiki/Balloch_Oil_and_Gas_Field_(United_Kingdom),,operating
Banff,,gas_extraction_area,,,United Kingdom,operating,1996,,1.90,million boe/y,point,56.996,1.3178,,https://www.gem.wiki/Banff_Oil_and_Gas_Field_(United_Kingdom),,operating
Barbara (NW),,gas_extraction_area,Eni S.P.A. (100%),Eni S.P.A. (100%),Italy,operating,,,10.76,million boe/y,point,43.927,13.604,,https://www.gem.wiki/Barbara_(NW)_Gas_Field_(Italy),,operating
Barenburg,,gas_extraction_area,,,Germany,operating,1953,,0.18,million boe/y,point,52.639,8.794,,https://www.gem.wiki/Barenburg_Oil_and_Gas_Field_(Germany),,operating
Barenburg/Buchhorst (Buntsandstein),,gas_extraction_area,,,Germany,operating,1959,,0.31,million boe/y,point,52.658,8.764,,https://www.gem.wiki/BarenburgBuchhorst_(Buntsandstein)_Gas_Field_(Germany),,operating
Barque,,gas_extraction_area,,,United Kingdom,operating,1990,,2.73,million boe/y,point,53.592,1.5742,,https://www.gem.wiki/Barque_Oil_and_Gas_Field_(United_Kingdom),,operating
Barrien,,gas_extraction_area,,,Germany,operating,1964,,0.23,million boe/y,point,52.978,8.829,,https://www.gem.wiki/Barrien_Gas_Field_(Germany),,operating
Barryroe,,gas_extraction_area,Exola (80%);Lansdowne Celtic Sea (20%),Providence Resources (80%);Lansdowne Oil & Gas PLC (20%),Ireland,discovered,,,,,point,51.226,-8.24,,https://www.gem.wiki/Barryroe_Oil_and_Gas_Field_(Ireland),,proposed_plus
Bauge,,gas_extraction_area,Equinor Energy AS (42.5%);Wintershall DEA Norge AS (27.5%);Vår Energi AS (17.5%);Neptune Energy Norge AS (12.5%),Equinor ASA (42.5%);BASF SE (27.5%);Eni (12.2%);HitecVision (5.3%);China Investment Corporation (6.1%);The Carlyle Group (3.8%);CVC Capital Partners (2.5%),Norway,in-development,,,,,point,64.349,7.46,,https://www.gem.wiki/Bauge_oil_field,,construction_plus
Beckett,,gas_extraction_area,Europa Oil & Gas Ltd (100%),Europa Oil & Gas (Holdings) PLC (100%),Ireland,discovered,,,,,point,50.823,-11.836,,https://www.gem.wiki/Beckett_Oil_and_Gas_Field_(Ireland),,proposed_plus
Beryl,,gas_extraction_area,Apache Corporation (61%);Chrysaor Holdings Limited (39%),APA Coropration (61%);Harbour Energy PLC (39%),United Kingdom,operating,1976,,4.69,million boe/y,point,59.556,1.5157,,https://www.gem.wiki/Beryl_Oil_and_Gas_Field_(United_Kingdom),,operating
Białogard,,gas_extraction_area,,,Poland,operating,,,0.06,million boe/y,point,52.4,19.18,,https://www.gem.wiki/Białogard_Gas_Field_(Poland),,operating
Bittern,,gas_extraction_area,Royal Dutch Shell (39.6%);Dana Petroleum (33%);ExxonMobil (25%);other (2.4%),Shell plc (nan%);Korea National Oil Corporation (33%);ExxonMobil Corporation (25%),United Kingdom,operating,2000,,3.07,million boe/y,point,56.909,1.0285,,https://www.gem.wiki/Bittern_Oil_and_Gas_Field_(United_Kingdom),,operating
Blake,,gas_extraction_area,Repsol Sinopec Resources UK Limited (100%),Repsol SA (51%);SINOPEC (49%),United Kingdom,operating,2001,,3.23,million boe/y,point,58.205,-1.3137,,https://www.gem.wiki/Blake_Oil_and_Gas_Field_(United_Kingdom),,operating
Blija-Zuidoost,,gas_extraction_area,,,Netherlands,operating,2001,,0.31,million boe/y,point,53.356,5.9,,https://www.gem.wiki/Blija-Zuidoost_Oil_and_Gas_Field_(Netherlands),,operating
Boa,,gas_extraction_area,,,United Kingdom,operating,2008,,0.77,million boe/y,point,59.612,1.9189,,https://www.gem.wiki/Boa_Oil_and_Gas_Field_(United_Kingdom),,operating
Bogdaj-Uciechów,,gas_extraction_area,,,Poland,operating,,,0.44,million boe/y,point,51.499,17.632,,https://www.gem.wiki/Bogdaj-Uciechów_Gas_Field_(Poland),,operating
Bonaccia,,gas_extraction_area,,,Italy,operating,,,,,point,40.797,12.631,,https://www.gem.wiki/Bonaccia_Gas_Field_(Italy),,operating
Borzęcin,,gas_extraction_area,,,Poland,operating,,,0.08,million boe/y,point,52.4,19.18,,https://www.gem.wiki/Borzęcin_Gas_Field_(Poland),,operating
Botlek,,gas_extraction_area,Nederlandse Aardolie Maatschappij B.V. (50%);EBN B.V. (50%),Shell plc (50%);Energie Beheer Nederland (EBN) (50%),Netherlands,operating,1992,,0.75,million boe/y,point,51.872,4.34,,https://www.gem.wiki/Botlek_Oil_and_Gas_Field_(Netherlands),,operating
Brae-South,,gas_extraction_area,,,United Kingdom,operating,,,1.45,million boe/y,point,58.736,1.322,,https://www.gem.wiki/Brae-South_Oil_and_Gas_Field_(United_Kingdom),,operating
Braemar,,gas_extraction_area,,,United Kingdom,operating,2003,,1.30,million boe/y,point,58.983,1.4854,,https://www.gem.wiki/Braemar_Oil_and_Gas_Field_(United_Kingdom),,operating
Bramberge,,gas_extraction_area,,,Germany,operating,1957,,0.51,million boe/y,point,52.617,7.345,,https://www.gem.wiki/Bramberge_Oil_and_Gas_Field_(Germany),,operating
Breagh,,gas_extraction_area,Sterling Resources (30%);INEOS (70%),PetroTal Corp. (30%);INEOS (70%),United Kingdom,operating,2013,,3.37,million boe/y,point,54.601,0.48864,,https://www.gem.wiki/Breagh_Oil_and_Gas_Field_(United_Kingdom),,operating
Brettorf/Brinkholz/Neerstedt,,gas_extraction_area,,,Germany,operating,1979,,1.00,million boe/y,point,52.953,8.402,,https://www.gem.wiki/BrettorfBrinkholzNeerstedt_Gas_Field_(Germany),,operating
Brigantine C,,gas_extraction_area,,,United Kingdom,operating,2002,,0.59,million boe/y,point,53.425,2.7168,,https://www.gem.wiki/Brigantine_C_Oil_and_Gas_Field_(United_Kingdom),,operating
Britannia,,gas_extraction_area,Britannia Operator Limited (100%),ConocoPhillips (100%),United Kingdom,operating,1998,,8.10,million boe/y,point,58.063,0.9453,,https://www.gem.wiki/Britannia_Oil_and_Gas_Field_(United_Kingdom),,operating
Brodgar,,gas_extraction_area,,,United Kingdom,operating,2008,,6.31,million boe/y,point,57.923,0.49539,,https://www.gem.wiki/Brodgar_Oil_and_Gas_Field_(United_Kingdom),,operating
Brońsko,,gas_extraction_area,Polskie Górnictwo Naftowe i Gazownictwo SA (PGNiG) (100%),Polskie Górnictwo Naftowe i Gazownictwo SA (PGNiG) (100%),Poland,operating,2001,,5.31,million boe/y,point,52.044,16.865,,https://www.gem.wiki/Brońsko_Gas_Field_(Poland),,operating
Bruce,,gas_extraction_area,Serica Energy PLC (98%);TotalEnergies (1%);BP (1%),Serica Energy PLC (98%);TotalEnergies (1%);BP P.L.C. (1%),United Kingdom,operating,1993,,3.82,million boe/y,point,59.744,1.6536,,https://www.gem.wiki/Bruce_Oil_and_Gas_Field_(United_Kingdom),,operating
Buchan,,gas_extraction_area,,,United Kingdom,in-development,2025 (expected),,,,point,57.743,-0.055748,,https://www.gem.wiki/Buchan_Oil_and_Gas_Field_(United_Kingdom),,construction_plus
Buchhorst/Barenburg (Zechstein),,gas_extraction_area,,,Germany,operating,1959,,0.26,million boe/y,point,52.645,8.745,,https://www.gem.wiki/BuchhorstBarenburg_(Zechstein)_Gas_Field_(Germany),,operating
Buckland,,gas_extraction_area,,,United Kingdom,operating,1999,,1.77,million boe/y,point,59.458,1.5623,,https://www.gem.wiki/Buckland_Oil_and_Gas_Field_(United_Kingdom),,operating
Burgman,,gas_extraction_area,Premier Oil Plc (35%);other (65%),Harbour Energy plc (35%),United Kingdom,operating,2017,,6.83,million boe/y,point,56.752,0.67612,,https://www.gem.wiki/Burgman_Oil_and_Gas_Field_(United_Kingdom),,operating
Buzzard,,gas_extraction_area,CNOOC Limited (43%);Suncor Energy (30%);Chrysaor Holdings Limited (22%);ONE-Dyas UK Limited (5%),CNOOC Limited (43%);Suncor Energy Inc. (30%);Harbour Energy PLC (22%);ONE-Dyas B.V. (5%),United Kingdom,operating,2007,,39.90,million boe/y,point,57.833,-0.94634,,https://www.gem.wiki/Buzzard_Oil_and_Gas_Field_(United_Kingdom),,operating
Calder,,gas_extraction_area,Chrysaor Holdings Limited (100%),Harbour Energy PLC (100%),United Kingdom,operating,2004,,3.61,million boe/y,point,53.806,-3.6663,,https://www.gem.wiki/Calder_Oil_and_Gas_Field_(United_Kingdom),,operating
Callanish,,gas_extraction_area,,,United Kingdom,operating,2008,,1.58,million boe/y,point,58.002,0.73779,,https://www.gem.wiki/Callanish_Oil_and_Gas_Field_(United_Kingdom),,operating
Callater,,gas_extraction_area,,,United Kingdom,operating,2017,,3.59,million boe/y,point,59.455,1.6293,,https://www.gem.wiki/Callater_Oil_and_Gas_Field_(United_Kingdom),,operating
Calypso,,gas_extraction_area,Eni S.P.A. (50%);TotalEnergies (50%),Eni S.P.A. (50%);TotalEnergies (50%),Cyprus,discovered,,,,,point,33.983,31.431,,https://www.gem.wiki/Calypso_Gas_Field,,proposed_plus
Cambo,,gas_extraction_area,,,United Kingdom,in-development,2025 (expected),,,,point,60.809,-4.1211,,https://www.gem.wiki/Cambo_Oil_and_Gas_Field_(United_Kingdom),,construction_plus
Candela Palino (SE&NW),,gas_extraction_area,,,Italy,operating,,,,,point,40.797,12.631,,https://www.gem.wiki/Candela_Palino_(SE&NW)_Gas_Field_(Italy),,operating
Capercaillie,,gas_extraction_area,BP (100%),BP P.L.C. (100%),United Kingdom,discovered,,,,,point,60.601,-2.524,,https://www.gem.wiki/Capercaillie_Oil_and_Gas_Field,,proposed_plus
Cappeln (Zechstein),,gas_extraction_area,,,Germany,operating,1970,,0.25,million boe/y,point,52.803,8.095,,https://www.gem.wiki/Cappeln_(Zechstein)_Gas_Field_(Germany),,operating
Captain,,gas_extraction_area,Ithaca Energy (UK) Limited (85%);Dana Petroleum (E&P) Limited (15%),Delek Group Limited (85%);Korea National Oil Corporation (15%),United Kingdom,operating,1997,,10.57,million boe/y,point,58.308,-1.703,,https://www.gem.wiki/Captain_Oil_and_Gas_Field_(United_Kingdom),,operating
Caragele,,gas_extraction_area,,,Romania,operating,2016,,2.15,million boe/y,point,45.076,27.206,,https://www.gem.wiki/Caragele_Gas_Field_(Romania),,operating
Carrack,,gas_extraction_area,,,United Kingdom,operating,2003,,1.60,million boe/y,point,53.605,2.7824,,https://www.gem.wiki/Carrack_Oil_and_Gas_Field_(United_Kingdom),,operating
Cassiopea,,gas_extraction_area,Noble Energy (39.7%);Delek Drilling (22.7%);Avner Oil Exploration (22.7%);Ratio Oil Exploration (15%),Chevron Corporation (39.7%);Delek Group (22.7%);Delek Group (22.7%);Ratio Petroleum (15%),Italy,operating,,,,,point,40.797,12.631,,https://www.gem.wiki/Cassiopea_Gas_Field_(Italy),,operating
Catcher,,gas_extraction_area,Harbour Energy (50%);Waldorf Production UK Ltd. (20%);MOL Group (20%);ONE-Dyas B.V. (10%),Harbour Energy (50%);Waldorf Production UK Ltd. (20%);MOL Group (20%);ONE-Dyas B.V. (10%),United Kingdom,operating,2017,,13.14,million boe/y,point,56.802,0.76631,,https://www.gem.wiki/Catcher_Oil_and_Gas_Field_(United_Kingdom),,operating
Caviaga,,gas_extraction_area,,,Italy,operating,,,,,point,40.797,12.631,,https://www.gem.wiki/Caviaga_Gas_Field_(Italy),,operating
Cayley,,gas_extraction_area,,,United Kingdom,operating,2017,,2.67,million boe/y,point,57.421,1.2258,,https://www.gem.wiki/Cayley_Oil_and_Gas_Field_(United_Kingdom),,operating
Cepheus,,gas_extraction_area,,,United Kingdom,in-development,,,,,point,54.511,2.333,,https://www.gem.wiki/Cepheus_Gas_Field_(United_Kingdom),,construction_plus
Cervia-Arianna,,gas_extraction_area,,,Italy,operating,,,3.47,million boe/y,point,44.297,12.635,,https://www.gem.wiki/Cervia-Arianna_Gas_Field_(Italy),,operating
Chestnut,,gas_extraction_area,,,United Kingdom,operating,2008,,2.00,million boe/y,point,57.956,1.2257,,https://www.gem.wiki/Chestnut_Oil_and_Gas_Field_(United_Kingdom),,operating
Cheviot,,gas_extraction_area,,,United Kingdom,in-development,2024 (expected),,,,point,60.699,0.0849,,https://www.gem.wiki/Cheviot_Oil_and_Gas_Field_(United_Kingdom),,construction_plus
Chiswick,,gas_extraction_area,,,United Kingdom,operating,2007,,1.80,million boe/y,point,53.941,2.7246,,https://www.gem.wiki/Chiswick_Oil_and_Gas_Field_(United_Kingdom),,operating
Ciecierzyn,,gas_extraction_area,,,Poland,operating,,,0.09,million boe/y,point,52.4,19.18,,https://www.gem.wiki/Ciecierzyn_Gas_Field_(Poland),,operating
Clair Phase 1,,gas_extraction_area,BP (45.1%);ConocoPhillips (7.5%);Ithaca Energy (19.4%);Shell UK Limited (28%),BP P.L.C. (45.1%);ConocoPhillips (7.5%);Delek Group Limited (19.4%);Shell plc (28%),United Kingdom,operating,2005,,12.97,million boe/y,point,60.676,-2.5593,,https://www.gem.wiki/Clair_Phase_1_Oil_and_Gas_Field_(United_Kingdom),,operating
Clair Phase 2 (Clair Ridge),,gas_extraction_area,BP (28.6%);Royal Dutch Shell (28%);ConocoPhillips (24%);Chevron (19.4%),BP P.L.C. (28.6%);Shell plc (nan%);ConocoPhillips (24%);Chevron Corporation (19.4%),United Kingdom,operating,,,11.44,million boe/y,point,60.676,-2.5593,,https://www.gem.wiki/Clair_Phase_2_(Clair_Ridge)_Oil_and_Gas_Field_(United_Kingdom),,operating
Clair South,,gas_extraction_area,,,United Kingdom,in-development,2024 (expected),,,,point,60.667,-2.783,,https://www.gem.wiki/Clair_South_Oil_Field_(United_Kingdom),,construction_plus
Claymore,,gas_extraction_area,,,United Kingdom,operating,1977,,3.65,million boe/y,point,58.461,-0.25515,,https://www.gem.wiki/Claymore_Oil_and_Gas_Field_(United_Kingdom),,operating
Clipper North,,gas_extraction_area,,,United Kingdom,operating,1990,,1.17,million boe/y,point,53.456,1.7233,,https://www.gem.wiki/Clipper_North_Oil_and_Gas_Field_(United_Kingdom),,operating
Clipper South,,gas_extraction_area,INEOS Oil and Gas UK (100%),INEOS (100%),United Kingdom,operating,2012,,3.83,million boe/y,point,53.413,1.7574,,https://www.gem.wiki/Clipper_South_Oil_and_Gas_Field_(United_Kingdom),,operating
Coevorden,,gas_extraction_area,Nederlandse Aardolie Maatschappij B.V. (100%),Shell plc (100%),Netherlands,operating,1950,,0.93,million boe/y,point,52.652,6.675,,https://www.gem.wiki/Coevorden_Oil_and_Gas_Field_(Netherlands),,operating
Columba B/D,,gas_extraction_area,,,United Kingdom,operating,,,1.33,million boe/y,point,60.836,1.4398,,https://www.gem.wiki/Columba_BD_Oil_and_Gas_Field_(United_Kingdom),,operating
Columbus,,gas_extraction_area,Serica Energy PLC (50%);Waldorf Production UK Ltd. (25%);Tailwind Energy (25%),Serica Energy PLC (50%);Waldorf Production UK Ltd. (25%);Tailwind Energy Ltd (25%),United Kingdom,in-development,2021 (expected),,2.56,million boe/y,point,57.238,2.0874,,https://www.gem.wiki/Columbus_Oil_and_Gas_Field_(United_Kingdom),,construction_plus
Conwy,,gas_extraction_area,,,United Kingdom,operating,2016,,2.10,million boe/y,point,53.627,-3.6719,,https://www.gem.wiki/Conwy_Oil_and_Gas_Field_(United_Kingdom),,operating
Cook,,gas_extraction_area,,,United Kingdom,operating,2000,,2.03,million boe/y,point,57.362,0.82101,,https://www.gem.wiki/Cook_Oil_and_Gas_Field_(United_Kingdom),,operating
Copșa Mică,,gas_extraction_area,,,Romania,operating,,,,,point,45.671,25.522,,https://www.gem.wiki/Copșa_Mică_Gas_Field_(Romania),,operating
Cormorant North,,gas_extraction_area,,,United Kingdom,operating,1982,,1.56,million boe/y,point,61.195,1.1375,,https://www.gem.wiki/Cormorant_North_Oil_and_Gas_Field_(United_Kingdom),,operating
Corrib,,gas_extraction_area,Canada Pension Plan Investment Board (43.5%);Vermilion Energy (20%);Equinor Energy Ireland Limited (36.5%),Canada Pension Plan Investment Board (43.5%);Vermilion Energy Inc. (20%);Equinor ASA (36.5%),Ireland,operating,2015,,3.53,million boe/y,point,54.329,-11.063,,https://www.gem.wiki/Corrib_Oil_and_Gas_Field_(Ireland),,operating
Crathes,,gas_extraction_area,,,United Kingdom,operating,2016,,1.56,million boe/y,point,57.583,0.39448,,https://www.gem.wiki/Crathes_Oil_and_Gas_Field_(United_Kingdom),,operating
Cristur,,gas_extraction_area,,,Romania,operating,,,3.29,million boe/y,point,46.287,25.03,,https://www.gem.wiki/Cristur_Gas_Field_(Romania),,operating
Crișana-Banat,,gas_extraction_area,,,Romania,operating,,,3.29,million boe/y,point,45.671,25.522,,https://www.gem.wiki/Crișana-Banat_Oil_and_Gas_Field_(Romania),,operating
Culzean,,gas_extraction_area,TotalEnergies (50%);BP (32%);JX Nippon (18%),TotalEnergies (50%);BP P.L.C. (32%);ENEOS Group (18%),United Kingdom,operating,2019,,10.62,million boe/y,point,57.186,1.907,,https://www.gem.wiki/Culzean_Oil_and_Gas_Field_(United_Kingdom),,operating
Cutter,,gas_extraction_area,,,United Kingdom,operating,2006,,0.64,million boe/y,point,53.705,2.6326,,https://www.gem.wiki/Cutter_Oil_and_Gas_Field_(United_Kingdom),,operating
Cygnus,,gas_extraction_area,Neptune Energy (38.8%);Spirit Energy (61.3%),China Investment Corporation (19%);The Carlyle Group (11.9%);CVC Capital Partners (7.9%);Centrica PLC (61.3%),United Kingdom,operating,2016,,15.35,million boe/y,point,54.571,2.225,,https://www.gem.wiki/Cygnus_Oil_and_Gas_Field_(United_Kingdom),,operating
Dan,,gas_extraction_area,,,Denmark,operating,1972,,8.62,million boe/y,point,55.473,5.1025,,https://www.gem.wiki/Dan_Oil_and_Gas_Field_(Denmark),,operating
Daria,,gas_extraction_area,,,Italy,operating,,,,,point,40.797,12.631,,https://www.gem.wiki/Daria_Gas_Field_(Italy),,operating
Daszewo N,,gas_extraction_area,,,Poland,operating,1987,,0.11,million boe/y,point,53.859,15.884,,https://www.gem.wiki/Daszewo_N_Gas_Field_(Poland),,operating
De Wijk,,gas_extraction_area,Nederlandse Aardolie Maatschappij B.V. (100%),Shell plc (100%),Netherlands,operating,1959,,0.50,million boe/y,point,52.705,6.332,,https://www.gem.wiki/De_Wijk_Oil_and_Gas_Field_(Netherlands),,operating
Deblinghausen,,gas_extraction_area,,,Germany,operating,1958,,0.84,million boe/y,point,52.592,8.99,,https://www.gem.wiki/Deblinghausen_Gas_Field_(Germany),,operating
Deleni-Hărănglab,,gas_extraction_area,,,Romania,operating,,,,,point,46.27,24.373,,https://www.gem.wiki/Deleni-Hărănglab_Gas_Field_(Romania),,operating
Dethlingen,,gas_extraction_area,,,Germany,operating,1971,,0.51,million boe/y,point,52.955,10.169,,https://www.gem.wiki/Dethlingen_Gas_Field_(Germany),,operating
Devenick,,gas_extraction_area,,,United Kingdom,operating,2012,,1.44,million boe/y,point,59.174,1.6309,,https://www.gem.wiki/Devenick_Oil_and_Gas_Field_(United_Kingdom),,operating
Diever,,gas_extraction_area,Vermilion Energy;Nederlandse Aardolie Maatschappij B.V.;EBN B.V.,Vermilion Energy Inc.;Shell plc;Energie Beheer Nederland (EBN),Netherlands,operating,2015,,2.27,million boe/y,point,52.869,6.237,,https://www.gem.wiki/Diever_Oil_and_Gas_Field_(Netherlands),,operating
Don South West,,gas_extraction_area,,,United Kingdom,operating,2009,,0.90,million boe/y,point,61.468,1.5394,,https://www.gem.wiki/Don_South_West_Oil_and_Gas_Field_(United_Kingdom),,operating
Dosso Degli Angeli,,gas_extraction_area,,,Italy,operating,,,,,point,40.797,12.631,,https://www.gem.wiki/Dosso_Degli_Angeli_Gas_Field_(Italy),,operating
